PROCEDENCI,TIPUS,FRGMENT,SECCIO,VORES,ARESTES,SEP__AREST,CODI,LONG,AMPL,GROS,TALO,GR_TALO,AMPL_TALO,BULB,ESC_BULB,CORTEX
x.v. xlvi-8/15,6,1,2,1,2,2,213,,150,46,7,,,,,0
x.v. xlvi-8/15,6,1,2,1,2,1,212,,141,35,3,23,32,2,1,0
x.v. xlvi-8/15,6,2,2,1,2,1,212,,129,35,7,,,,,0
x.v. xlvi-8/15,7,2,2,1,2,2,212,,97,28,7,,,,,0
x.v. xlvi-8/15,6,1,2,2,2,1,212,,143,49,1,38,60,3,1,0
x.v. xlvi-8/15,6,1,2,2,2,1,212,,147,29,3,22,33,2,2,0
x.v. xlvi-8/15,6,2,2,1,2,1,212,,184,69,7,,,,,0
x.v. xlvi-8/15,6,2,2,2,3,1,123,,158,41,7,,,,,0
x.v. xlvi-8/15,7,1,3,2,3,,,,107,44,2,16,18,2,1,0
x.v. xlvi-8/15,7,2,1,1,1,,12,,116,32,7,,,,,0
x.v. xlvi-8/15,6,2,2,,2,1,123,,,42,7,,,,,0
x.v. xlvi-8/15,7,1,2,3,3,1,,,,35,2,28,20,2,2,4
x.v. xlvi-8/15,6,3,2,2,3,1,4321,,146,29,7,,,,,0
x.v. xlvi-8/15,7,1,3,2,2,1,,,108,42,1,18,38,2,1,4
x.v. xlvi-8/15,6,2,2,3,2,1,,,172,59,7,,,,,4
x.v. xlvi-8/15,7,2,1,2,2,1,12,,102,20,7,,,,,0
x.v. xlvi-8/15,7,2,2,1,2,1,212,,122,16,7,,,,,0
x.v. xlvi-8/15,7,2,2,,2,1,121,,105,18,7,,,,,1
x.v. xlvi-8/15,7,2,2,2,3,1,,,102,18,7,,,,,4
x.v. xlvi-8/15,7,1,2,,2,1,,,108,27,1,22,24,2,1,1
x.v. xlvi-8/15,7,3,1,2,2,1,12,,81,28,7,,,,,2
x.v. xlvi-8/15,7,2,2,2,2,1,123,,114,25,7,,,,,0
x.v. xlvi-8/15,7,2,1,2,2,1,21,,104,30,7,,,,,0
x.v. xlvi-8/15,7,3,2,1,2,1,212,,76,14,7,,,,,0
x.v. xlvi-8/15,5,2,2,,1,1,212,,116,46,7,,,,,0
x.v. xlvi-8/15,5,4,2,,2,1,212,207,85,17,3,13,17,2,2,0
x.v. xlvi-8/15,4,2,2,,2,1,123,,165,25,7,,,,,0
x.v. xlvi-8/17,6,2,2,2,2,1,321,,123,45,7,,,,,0
x.v. xlvi-8/17,5,3,2,2,2,1,212,,119,20,7,,,,,0
x.v. xlvi-8/17,4,2,2,2,3,2,312,,,37,7,,,,,0
x.v. xlvi-8/17,6,2,3,2,3,1,212,,,27,7,,,,,0
x.v. xlvi-8/17,6,1,2,3,2,1,212,,122,21,3,17,30,2,1,0
x.v.xlvi-8/11-14,4,4,1,3,2,1,12,335,169,72,1,43,26,2,2,4
x.v.xlvi-8/11-14,2,2,2,,2,1,2121,,,53,7,,,,,0
x.v.xlvi-8/11-14,4,2,1,,2,1,12,,,45,7,,,,,0
x.v.xlvi-8/11-14,2,2,2,2,2,1,,,,29,7,,,,,0
x.v.xlvi-8/11-14,7,2,2,1,2,1,123,,93,36,7,,,,,0
x.v.xlvi-8/11-14,3,2,3,2,2,1,,,,62,7,,,,,0
x.v.xlvi-8/11-14,6,2,2,2,3,1,212,,132,34,7,,,,,0
x.v.xlvi-8/11-14,4,3,2,3,2,1,212,,154,35,7,,,,,0
x.v.xlvi-8/11-14,6,1,2,3,2,1,212,,166,42,3,23,26,2,1,0
x.v.xlvi-8/11-14,7,1,2,2,2,1,212,,109,34,1,53,26,2,1,0
x.v.xlvi-8/11-14,7,2,2,2,2,1,,,92,25,7,,,,,0
x.v.xlvi-8/11-14,6,2,2,2,2,1,212,,167,36,7,,,,,0
x.v.xlvi-8/11-14,6,1,2,3,2,1,212,,130,20,1,19,39,2,1,0
x.v.xlvi-8/11-14,7,2,2,3,2,1,123,,107,23,7,,,,,0
x.v.xlvi-8/11-14,7,2,2,,3,1,123,,71,16,7,,,,,0
x.v.xlvi-8/11-14,7,3,1,3,2,1,21,,91,26,7,,,,,0
x.v.xlvi-8/11-14,7,2,3,3,2,1,,,,21,7,,,,,0
xlvi-8/13 (m),2,2,2,1,1,1,212,,142,34,7,,,,,0
xlvi-8/13 (m),2,2,1,,2,1,21,,135,33,7,,,,,0
xlvi-8/13 (m),7,2,2,2,2,1,321,,88,18,7,,,,,0
xlvi-8/13 (m),6,1,2,,,1,132,,,36,3,26,33,2,1,1
xlvi-8/13 (m),6,1,2,2,3,1,213,,132,22,3,34,22,2,1,0
xlvi-8/13 (m),7,2,1,,,1,21,,,24,7,,,,,0
xlvi-8/6 (g),7,1,1,2,1,1,12,,,23,3,22,34,2,2,0
xlvi-8/6 (g),6,2,2,1,2,1,132,,146,60,7,,,,,0
ac-37,7,1,2,2,2,1,123,,95,24,3,14,18,1,2,0
ac-37,6,1,2,,,1,54321,,121,27,3,27,25,2,1,0
ac-37,6,2,2,1,2,1,212,,144,24,7,,,,,0
ac-37,7,2,2,,2,1,,,,23,7,,,,,0
ac-37,7,3,2,,2,1,123,,107,19,7,,,,,0
xlvi-8/14 (n) (d.carlos),2,1,2,3,2,1,212,,140,32,3,36,32,1,2,1
xlvi-8/14 (n) (d.carlos),6,2,1,,,1,12,,124,23,7,,,,,0
xlvi-8/14 (n) (d.carlos),7,2,2,,,1,,,,16,7,,,,,0
xlvi-8/17 (r-o),6,1,1,2,1,1,21,,148,41,3,38,33,2,2,0
xlvi-8/17 (r-o),6,1,1,3,1,1,12,,,27,3,35,34,2,2,0
xlvi-8/15 (p),6,2,2,2,3,1,1323,,126,29,7,,,,,0
xlvi-8/15 (p),6,2,2,2,2,1,321,,142,28,7,,,,,0
xlvi-8/15 (p),7,2,1,2,2,1,12,,112,51,7,,,,,0
xlvi-8/15 (p),7,2,3,2,3,1,,,76,28,7,,,,,0
xlvi-8/15 (p),7,2,2,2,2,1,121,,91,48,7,,,,,0
xlvi-8/23-19 (x-t),4,1,2,,2,1,3212,,,47,2,30,22,2,1,0
xlvi-8/23-19 (x-t),4,2,2,,2,1,321,,,36,7,,,,,0
xlvi-8/23-19 (x-t),2,2,2,,2,1,,,,36,7,,,,,0
xlvi-8/23-19 (x-t),2,2,1,2,2,1,21,,115,57,7,,,,,3
xlvi-8/23-19 (x-t),6,1,1,3,2,1,12,,167,35,3,32,37,2,1,0
xlvi-8/23-19 (x-t),6,1,2,3,2,1,212,,156,47,3,25,34,2,1,0
xlvi-8/23-19 (x-t),6,2,1,,2,1,21,,,44,7,,,,,0
xlvi-8/23-19 (x-t),6,3,2,2,2,1,321,,134,40,7,,,,,0
xlvi-8/23-19 (x-t),6,2,2,2,2,1,,,165,27,7,,,,,0
xlvi-8/23-19 (x-t),6,3,2,2,2,1,321,,128,37,7,,,,,0
xlvi-8/23-19 (x-t),6,2,2,3,2,1,,,,25,7,,,,,0
xlvi-8/23-19 (x-t),6,2,2,3,2,1,321,,,40,7,,,,,0
xlvi-8/23-19 (x-t),6,1,2,3,3,,123,,126,72,6,16,30,2,1,0
xlvi-8/23-19 (x-t),6,2,1,2,2,,12,,123,58,7,,,,,0
xlvi-8/23-19 (x-t),7,1,2,2,2,1,,,86,24,3,35,27,2,2,0
xlvi-8/23-19 (x-t),1,1,2,,2,1,212,,,30,3,23,22,2,1,0
x.v. xlvi-8/11,2,2,1,2,2,1,21,,151,63,7,,,,,0
xlvi-8/7r.eduardo,1,1,2,2,2,1,212,187,102,26,1,17,28,2,1,0
xlvi-8/7r.eduardo,3,3,2,,2,1,321,,158,43,7,,,,,1
xlvi-8/7r.eduardo,2,1,2,1,2,1,212,,125,35,3,25,34,2,2,0
xlvi-8/7r.eduardo,2,2,2,1,1,1,321,,167,37,7,,,,,0
xlvi-8/7r.eduardo,2,1,2,2,2,1,321,,110,25,1,22,32,2,2,0
xlvi-8/7r.eduardo,5,2,2,2,2,1,123,,102,42,7,,,,,0
xlvi-8/7r.eduardo,4,1,1,2,2,1,21,,165,52,3,36,40,2,1,1
xlvi-8/7r.eduardo,4,3,2,,1,1,212,,177,51,7,,,,,0
xlvi-8/7r.eduardo,4,2,1,,2,1,21,,,47,7,,,,,0
xlvi-8/7r.eduardo,5,2,2,,,1,,,,17,7,,,,,0
xlvi-8/7r.eduardo,6,1,2,2,2,1,212,,151,33,3,36,28,2,2,0
xlvi-8/7r.eduardo,7,1,2,2,2,1,212,,116,26,1,21,29,2,1,0
xlvi-8/7r.eduardo,7,1,2,2,2,1,123,,102,26,3,23,24,2,1,2
xlvi-8/7r.eduardo,6,2,2,2,2,1,123,,185,49,7,,,,,0
xlvi-8/7r.eduardo,6,2,2,,,1,,,144,32,7,,,,,0
xlvi-8/7r.eduardo,7,2,1,2,2,1,12,,107,37,7,,,,,0
x.v. xlvi-8/11-12,6,2,2,2,2,1,212,,186,57,7,,,,,0
x.v. xlvi-8/11-12,6,1,2,,2,1,,,129,38,3,23,31,2,1,0
x.v. xlvi-8/11-12,2,2,3,2,3,1,,,163,40,7,,,,,0
x.v. xlvi-8/11-12,6,2,1,,,1,21,,,42,7,,,,,0
ac-37/89,1,2,1,,,1,21,,127,32,7,,,,,0
ac-37/89,5,2,1,,,1,,,,27,7,,,,,0
x.v. alm. bresq.,7,1,2,2,2,1,,,107,36,3,12,19,2,2,0
x.v. alm. bresq.,7,3,1,2,2,1,21,,100,18,7,,,,,1
x.v. xlvi-8/4,5,3,2,2,3,1,,,109,36,7,,,,,0
x.v. xlvi-8/4,4,1,2,,2,1,321,,125,36,1,22,18,2,1,0
x.v. xlvi-8/4,4,2,1,2,2,1,12,,137,67,7,,,,,0
x.v. xlvi-8/4,6,2,1,,2,1,21,,,26,7,,,,,0
x.v. xlvi-8/4,7,2,2,2,1,2,123,,116,32,7,,,,,0
x.v. xlvi-8/4,7,2,1,2,2,1,12,,88,28,7,,,,,1
x.v. xlvi-8/4,2,2,1,2,2,1,12,,107,27,7,,,,,0
x.v. xlvi-8/4,2,2,2,,2,1,212,,,34,7,,,,,0
x.v. xlvi-8/4,5,2,2,2,2,1,212,,110,20,7,,,,,0
x.v. xlvi-8/4,6,2,2,1,2,,213,,137,58,7,,,,,0
x.v. xlvi-8/4,6,2,1,1,1,1,,,136,78,7,,,,,0
x.v. xlvi-8/4,5,2,2,,2,1,312,,112,27,7,,,,,0
x.v. xlvi-8/4,4,2,1,2,2,1,21,,171,37,7,,,,,0
x.v. xlvi-8/4,6,2,2,,2,1,,,,32,7,,,,,0
x.v. xlvi-8/15-18,6,1,2,3,3,,212,,175,60,3,25,51,2,2,0
x.v. xlvi-8/15-18,6,1,2,1,2,,212,,123,34,3,25,64,2,1,0
x.v. xlvi-8/15-18,6,1,2,1,1,,4321,,157,48,1,106,35,3,2,0
x.v. xlvi-8/15-18,6,1,3,2,2,,,,,36,1,33,62,2,2,0
x.v. xlvi-8/15-18,6,1,2,3,2,,321,,,51,1,,,2,1,0
x.v. xlvi-8/15-18,6,1,2,1,2,,212,,138,30,3,20,106,2,2,0
x.v. xlvi-8/15-18,6,1,2,,,,,,,37,1,32,,2,2,0
x.v. xlvi-8/15-18,7,1,2,1,2,,,,94,33,2,28,71,1,1,0
x.v. xlvi-8/15-18,7,1,1,2,2,,12,,102,29,2,32,96,2,1,0
x.v. xlvi-8/15-18,6,2,1,2,2,,21,,163,38,7,,,,,0
x.v. xlvi-8/15-18,6,2,1,,,,21,,,24,7,,,,,0
x.v. xlvi-8/15-18,6,2,2,1,1,,212,,159,32,7,,,,,1
x.v. xlvi-8/15-18,6,2,1,,1,,12,,,22,7,,,,,0
x.v. xlvi-8/15-18,6,2,2,,1,2,212,,,25,7,,,,,0
x.v. xlvi-8/15-18,6,2,1,2,1,,12,,,25,7,,,,,0
x.v. xlvi-8/15-18,6,2,2,1,2,,212,,140,30,7,,,,,0
x.v. xlvi-8/15-18,6,2,2,2,2,,321,,156,38,7,,,,,0
x.v. xlvi-8/15-18,6,2,2,1,1,,212,,166,24,7,,,,,0
x.v. xlvi-8/15-18,6,2,3,3,3,,,,179,38,7,,,,,4
x.v. xlvi-8/15-18,7,2,2,2,3,,,,116,37,7,,,,,0
x.v. xlvi-8/15-18,6,2,2,1,2,,212,,125,39,7,,,,,0
x.v. xlvi-8/15-18,7,2,1,1,1,,12,,60,12,7,,,,,0
x.v. xlvi-8/15-18,7,2,2,2,3,,,,87,58,7,,,,,0
x.v. xlvi-8/15-18,7,2,2,1,2,,321,,71,40,7,,,,,0
x.v. xlvi-8/15-18,6,2,2,2,3,,,,,41,7,,,,,0
x.v. xlvi-8/15-18,7,2,1,3,2,,21,,103,26,7,,,,,0
x.v. xlvi-8/15-18,6,2,,1,,,,,,47,7,,,,,0
x.v. xlvi-8/15-18,6,3,2,2,2,,212,,126,26,7,,,,,0
x.v. xlvi-8/15-18,7,2,,,,,,,,,7,,,,,0
x.v. xlvi-8/15-18,1,1,2,2,,,321,184,,30,3,29,100,3,1,1
x.v. xlvi-8/15-18,1,1,2,2,1,,212,222,114,24,3,16,87,3,2,0
x.v. xlvi-8/15-18,1,2,2,2,2,,,245,120,35,7,,,,,0
x.v. xlvi-8/15-18,1,1,2,2,2,,321,169,137,34,3,29,85,3,1,0
x.v. xlvi-8/15-18,1,1,2,,2,,321,155,110,28,3,24,71,2,2,0
x.v. xlvi-8/15-18,1,1,2,,2,,,122,,29,2,,,2,2,0
x.v. xlvi-8/15-18,3,2,2,1,1,,12,,108,43,7,,,,,0
x.v. xlvi-8/15-18,3,2,2,,2,,212,,110,41,7,,,,,0
x.v. xlvi-8/15-18,3,3,,2,,,,,96,34,7,,,,,0
x.v. xlvi-8/15-18,3,3,1,2,,,,,69,32,7,,,,,0
x.v. xlvi-8/15-18,4,2,2,1,1,,123,,175,29,7,,,,,0
x.v. xlvi-8/15-18,4,2,2,1,2,,321,,161,56,,,,,,4
x.v. xlvi-8/15-18,4,1,1,2,1,,12,,131,37,3,28,43,2,1,0
x.v. xlvi-8/15-18,4,2,2,1,1,,212,,161,37,7,,,,,0
x.v. xlvi-8/15-18,2,3,2,2,2,,212,,182,36,7,,,,,0
x.v. xlvi-8/15-18,5,2,1,1,2,,21,,95,34,7,,,,,0
x.v. xlvi-8/15-18,2,2,2,1,1,,123,,149,25,7,,,,,0
x.v. xlvi-8/15,1,1,2,2,2,,212,236,137,31,3,64,24,2,1,0
x.v. xlvi-8/15,1,1,2,1,2,,212,212,138,33,3,61,22,2,1,0
x.v. xlvi-8/15,1,2,2,1,1,,212,,122,41,7,,,,,0
x.v. xlvi-8/15,1,3,2,2,2,,212,21,,26,7,,,,,0
x.v. xlvi-8/15,2,2,2,,2,,121,,,,7,,,,,0
x.v. xlvi-8/15,4,2,3,2,3,,,,202,54,7,,,,,0
x.v. xlvi-8/17 dacsa,1,1,1,2,2,,21,198,125,46,3,56,18,3,1,0
x.v. xlvi-8/17 dacsa,1,2,2,,2,,321,,,,7,,,,,0
x.v. xlvi-8/11-14 pitol,1,3,2,1,1,,123,170,126,22,7,,,,,0
x.v. xlvi-8/11-14 pitol,1,1,2,2,2,,212,47,117,30,3,9,28,,,0
x.v. xlvi-8/13 aig�era,1,1,2,1,1,,212,219,128,39,3,52,23,2,1,0
x.v. xlvi-8/13 aig�era,1,1,2,2,1,,212,156,139,30,3,111,31,3,1,0
x.v. xlvi-8/13 aig�era,1,2,3,2,3,,123,,103,41,7,,,,,0
x.v. xlvi-8/11 fallat,1,2,2,1,2,,123,200,116,36,7,,,,,0
x.v. xlvi-8/11 fallat,1,3,2,2,2,,1212,200,183,38,7,,,,,0
x.v. xlvi-8/11 fallat,1,1,2,1,1,,321,157,108,22,3,20,76,3,1,0
x.v. xlvi-8/14 pitol,1,1,2,1,2,,212,175,109,31,3,32,102,2,1,0
x.v. xlvi-8/14 pitol,1,2,2,1,1,2,212,164,90,28,7,,,,,0
x.v. xlvi-8/14 pitol,1,2,2,1,2,,,135,95,35,7,,,,,0
x.v. xlvi-8/14 pitol,1,2,1,,,,12,81,,22,7,,,,,0
x.v. xlvi-8/14 pitol,4,2,2,2,2,,321,,120,37,7,,,,,4
x.v. xlvi-8/14 pitol,7,1,1,2,1,,12,,95,25,3,19,50,1,2,0
x.v. xlvi-8/14 pitol,4,2,2,1,2,,212,,180,54,7,,,,,0
x.v. xlvi-8/14 pitol,6,1,1,2,1,,12,,153,42,1,23,,2,1,0
x.v. xlvi-8/14 pitol,7,1,2,2,2,,123,,117,40,6,,,,,1
x.v. xlvi-8/14 pitol,7,2,3,2,3,,,,96,36,,,,,,0
x.v. xlvi-8/11-14 pitol,1,1,2,1,1,,212,173,126,28,3,25,20,2,2,0
x.v. xlvi-8/13 aig�era,7,3,2,1,2,,213,,86,37,7,,,,,0
x.v. xlvi-8/13 aig�era,5,2,2,1,2,,321,,93,21,7,,,,,0
x.v. xlvi-8/13 aig�era,4,1,2,1,1,,321,,169,48,3,39,109,3,2,0
x.v. xlvi-8/13 aig�era,2,2,2,1,1,,212,197,170,36,7,,,,,0
x.v. xlvi-8/13 aig�era,7,2,2,1,2,,312,,95,33,7,,,,,0
x.v. xlvi-8/13 aig�era,6,1,2,2,2,,212,,143,37,3,28,87,2,1,0
x.v. xlvi-8/13 aig�era,6,2,2,1,1,,121,,152,156,7,,,,,0
x.v. xlvi-8/13 aig�era,6,2,1,2,1,,12,,121,171,7,,,,,0
x.v. xlvi-8/13 aig�era,6,2,3,2,2,,,,120,61,7,,,,,0
x.v. xlvi-8/13 aig�era,7,1,3,2,3,,,,85,42,3,17,40,,,0
x.v. xlvi-8/13 aig�era,4,2,2,3,2,,,,189,37,7,,,,,0
x.v. xlvi-8/13 aig�era,4,2,2,1,2,,,,137,48,7,,,,,1
x.v. xlvi-8/13 aig�era,7,1,2,2,2,,123,,,33,3,28,73,2,1,0
x.v. xlvi-8/13 aig�era,2,2,2,,,,,,,37,7,,,,,0
x.v. xlvi-8/13 aig�era,6,2,2,,,,,,,43,7,,,,,0
xlvi-8/16 p. q,6,2,2,1,1,,212,,146,28,7,,,,,0
xlvi-8/16 p. q,6,2,2,,1,,,,,35,7,,,,,0
xlvi-8/16 p. q,6,1,1,2,2,,21,,139,28,3,22,42,2,1,0
xlvi-8/16 p. q,6,2,2,2,2,,123,,125,36,7,,,,,0
xlvi-8/16 p. q,7,2,1,2,1,,,,117,20,7,,,,,0
xlvi-8/16 p. q,7,1,2,2,2,,212,,93,27,3,23,40,2,1,0
xlvi-8/16 p. q,6,2,2,,1,,,,,25,7,,,,,0
